"sg13g2_IOPadOut4mA","4.0 mA","2.3 mA","2.6 mA","3.0 mA","6.1 mA","5.5 mA","5.2 mA"
"sg13g2_IOPadOut16mA","16.0 mA","9.3 mA","10.6 mA","11.9 mA","24.5 mA","22.2 mA","20.9 mA"
"sg13g2_IOPadOut30mA","30.0 mA","17.4 mA","19.9 mA","22.2 mA","46.0 mA","41.6 mA","39.1 mA"
