"sg13g2_IOPadOut4mA","4","1.11","typ_1p2V_3p3V_25C"
"sg13g2_IOPadOut16mA","16","4.21","typ_1p2V_3p3V_25C"
"sg13g2_IOPadOut30mA","30","4.53","typ_1p2V_3p3V_25C"
