GFil.g,Min. global GatPoly density [%]
AFil.g,Min. global Activ density [%]
AFil.g1,Max. global Activ density [%]
AFil.g2,Min. Activ coverage ratio for any 800 x 800 µm² chip area [%]
AFil.g3,Max. Activ coverage ratio for any 800 x 800 µm² chip area [%]
