"4 mA","sg13g2_Clamp_N2N2D","sg13g2_Clamp_P2N2D","2","4"
"16 mA","sg13g2_Clamp_N8N8D","sg13g2_Clamp_P8N8D","8","16"
"30 mA","sg13g2_Clamp_N15N15D","sg13g2_Clamp_P15N15D","15","30"
