"sg13g2_IOPadOut4mA","4.0 mA","2.3 mA","2.5 mA","2.8 mA","6.4 mA","5.9 mA","5.6 mA"
"sg13g2_IOPadOut16mA","16.0 mA","9.2 mA","10.2 mA","11.1 mA","25.5 mA","23.4 mA","22.2 mA"
"sg13g2_IOPadOut30mA","30.0 mA","17.3 mA","19.1 mA","20.7 mA","47.8 mA","43.9 mA","41.6 mA"
